epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.345,1.23371,1.76015,1.28533,0.81259,0.75434,0.75483,0.63922,0.66702,1.11028,0.95334,0.00066443,0.00066443,0.00066443
2,208.493,1.23776,1.31151,1.29186,0.80306,0.80029,0.80907,0.6247,0.92061,0.81877,1.05464,0.00131792,0.00131792,0.00131792
3,310.182,1.23464,1.21993,1.29138,0.89576,0.78772,0.85645,0.68954,0.7949,0.66774,1.02549,0.00195821,0.00195821,0.00195821
4,399.588,1.19974,1.18372,1.28061,0.88101,0.82109,0.87995,0.74783,0.59298,0.5928,0.95414,0.0019406,0.0019406,0.0019406
5,488.524,1.13901,1.08122,1.24268,0.83088,0.80774,0.86465,0.74448,0.58002,0.57371,0.91824,0.0019208,0.0019208,0.0019208
6,577.775,1.08686,1.00387,1.21159,0.85454,0.83178,0.88828,0.75964,0.5768,0.53085,0.92842,0.001901,0.001901,0.001901
7,667.085,1.05051,0.96595,1.19567,0.88875,0.84913,0.9116,0.80542,0.48686,0.45751,0.89776,0.0018812,0.0018812,0.0018812
8,763.03,1.0292,0.93889,1.18026,0.90032,0.81041,0.90504,0.79085,0.50808,0.46484,0.90777,0.0018614,0.0018614,0.0018614
9,859.59,1.00195,0.89154,1.16069,0.8956,0.84246,0.91585,0.81094,0.46043,0.43232,0.88278,0.0018416,0.0018416,0.0018416
10,956.643,0.99261,0.88216,1.16289,0.9205,0.81936,0.91087,0.81152,0.47906,0.45196,0.88123,0.0018218,0.0018218,0.0018218
11,1050.83,0.97161,0.86744,1.15209,0.88705,0.87183,0.92649,0.8209,0.43969,0.41716,0.87484,0.001802,0.001802,0.001802
12,1143.01,0.94317,0.84497,1.13572,0.88401,0.85473,0.92165,0.82746,0.42479,0.3995,0.86652,0.0017822,0.0017822,0.0017822
13,1235.44,0.92514,0.81615,1.12127,0.867,0.87902,0.92874,0.8172,0.48447,0.41647,0.88552,0.0017624,0.0017624,0.0017624
14,1327.55,0.94049,0.82069,1.13519,0.91414,0.83872,0.92839,0.8334,0.41255,0.41577,0.87017,0.0017426,0.0017426,0.0017426
15,1419.68,0.91594,0.79442,1.12198,0.92021,0.85447,0.93741,0.84224,0.40097,0.38671,0.85943,0.0017228,0.0017228,0.0017228
16,1512.11,0.89684,0.78663,1.10888,0.90404,0.86382,0.93278,0.84555,0.41376,0.37444,0.85884,0.001703,0.001703,0.001703
17,1604.33,0.9085,0.78624,1.12029,0.87778,0.8726,0.92722,0.83332,0.42905,0.40059,0.86909,0.0016832,0.0016832,0.0016832
18,1697.14,0.89204,0.76974,1.10906,0.89318,0.87717,0.93218,0.83124,0.41435,0.37532,0.86088,0.0016634,0.0016634,0.0016634
19,1791.34,0.8605,0.75215,1.09757,0.89669,0.89227,0.94207,0.85646,0.3903,0.35873,0.86187,0.0016436,0.0016436,0.0016436
20,1883.76,0.86022,0.73709,1.0921,0.90984,0.85314,0.93171,0.84557,0.39469,0.38388,0.86352,0.0016238,0.0016238,0.0016238
21,1976.17,0.86752,0.74579,1.09626,0.89212,0.89987,0.9405,0.86606,0.38065,0.35571,0.85069,0.001604,0.001604,0.001604
22,2068.29,0.85221,0.73344,1.08412,0.90653,0.87316,0.93946,0.86165,0.38386,0.3516,0.85261,0.0015842,0.0015842,0.0015842
23,2160.84,0.83276,0.71233,1.07871,0.89801,0.88919,0.94359,0.86239,0.3776,0.33857,0.85331,0.0015644,0.0015644,0.0015644
24,2253.08,0.84086,0.72199,1.08175,0.90092,0.90254,0.94477,0.86255,0.3835,0.34593,0.85115,0.0015446,0.0015446,0.0015446
25,2345.63,0.82597,0.69522,1.06809,0.89798,0.90521,0.94557,0.87105,0.35994,0.32355,0.84852,0.0015248,0.0015248,0.0015248
26,2439.01,0.82615,0.70883,1.07374,0.91886,0.88652,0.94177,0.87369,0.35455,0.33713,0.85223,0.001505,0.001505,0.001505
27,2532.13,0.81124,0.6872,1.06862,0.92296,0.87975,0.93824,0.86264,0.35122,0.32778,0.84875,0.0014852,0.0014852,0.0014852
28,2624.63,0.80231,0.68321,1.05824,0.92452,0.88311,0.94633,0.87173,0.36106,0.32747,0.84742,0.0014654,0.0014654,0.0014654
29,2717.11,0.81696,0.68898,1.06663,0.89545,0.91478,0.94865,0.87784,0.36541,0.32805,0.84559,0.0014456,0.0014456,0.0014456
30,2809.93,0.79924,0.6723,1.06112,0.89612,0.90654,0.9434,0.87167,0.34585,0.32498,0.84449,0.0014258,0.0014258,0.0014258
31,2902.8,0.78889,0.66764,1.05179,0.88011,0.90171,0.95138,0.88011,0.34118,0.31786,0.84184,0.001406,0.001406,0.001406
32,2995.04,0.78474,0.66065,1.05139,0.91579,0.90387,0.95134,0.87953,0.35053,0.31445,0.84506,0.0013862,0.0013862,0.0013862
33,3087.58,0.7886,0.66949,1.05399,0.8938,0.91015,0.94671,0.88242,0.32618,0.31125,0.8444,0.0013664,0.0013664,0.0013664
34,3181.88,0.77741,0.64411,1.04962,0.88647,0.90788,0.94685,0.88415,0.32832,0.30327,0.8412,0.0013466,0.0013466,0.0013466
